Name,Year,x,n,dying_prob,LEx,dying_prob_annual
No income group available,2025,20,5,0.0094438,54.78,0.0018887600000000002
No income group available,2025,25,5,0.01032729,50.2777,0.002065458
No income group available,2025,30,5,0.01098301,45.7761,0.0021966019999999998
No income group available,2025,35,5,0.01248248,41.2563,0.002496496
No income group available,2025,40,5,0.01558606,36.7454,0.0031172120000000003
No income group available,2025,45,5,0.02134715,32.286,0.004269429999999999
No income group available,2025,50,5,0.03206298,27.9326,0.006412596
No income group available,2025,55,5,0.04828881,23.7701,0.009657762
No income group available,2025,60,5,0.07540585,19.8413,0.01508117
No income group available,2025,65,5,0.10595474,16.2442,0.021190948
No income group available,2025,70,5,0.14702411,12.8631,0.029404822000000004
No income group available,2025,75,5,0.2223639,9.6334,0.04447278
No income group available,2025,80,5,0.40745594,6.6418,0.081491188
No income group available,2025,85,5,0.63916638,4.4284,0.127833276
No income group available,2025,90,5,0.78950666,3.1461,0.157901332
No income group available,2025,95,5,0.88922342,2.3479,0.177844684
No income group available,2025,100,-1,1,1.7121,-1
AFRICA,2025,0,1,0.04261474,63.9158,0.04261474
AFRICA,2025,1,4,0.0212785,65.7524,0.005319625
AFRICA,2025,5,5,0.01293146,63.1439,0.002586292
AFRICA,2025,10,5,0.00773147,58.9423,0.001546294
AFRICA,2025,15,5,0.01068311,54.3823,0.002136622
AFRICA,2025,20,5,0.01480293,49.9405,0.0029605860000000003
AFRICA,2025,25,5,0.01688941,45.6523,0.003377882
AFRICA,2025,30,5,0.01936712,41.3929,0.0038734240000000003
AFRICA,2025,35,5,0.02311267,37.16,0.004622533999999999
AFRICA,2025,40,5,0.0289756,32.9783,0.00579512
AFRICA,2025,45,5,0.03649535,28.8855,0.00729907
AFRICA,2025,50,5,0.05046699,24.8812,0.010093398
AFRICA,2025,55,5,0.0682665,21.0649,0.013653299999999998
AFRICA,2025,60,5,0.10060173,17.4172,0.020120346
AFRICA,2025,65,5,0.1482336,14.0716,0.029646719999999998
